id,IATA,en-GB,latitude,longitude,vibes,country
129056242,LCB,Pontes e Lacerda,-13.013333,-59.998611,,Brazil
129052205,LCC,Lecce Galatina,40.242778,18.133333,,Italy
129055705,LCD,Louis Trichardt,-23.016667,29.716667,,South Africa
128668779,LCE,La Ceiba,15.740556,-86.857222,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""1""}",Honduras
129054944,LCF,Rio Dulce,15.667778,-88.947778,,Guatemala
95565109,LCG,A Coruña,43.299444,-8.379167,,Spain
128668544,LCH,Lake Charles,30.131111,-93.225556,,United States
129057730,LCI,Laconia,43.571389,-71.421111,,United States
128668780,LCJ,Lodz,51.721944,19.398333,,Poland
95673619,LCK,Columbus Rickenbacker,39.816667,-82.933333,,United States
129054035,LCL,La Coloma,22.3361,-83.6419,,Cuba
129055146,LCM,La Cumbre,-30.966667,-64.5,,Argentina
129057096,LCN,Balcanoona,-30.516667,139.35,,Australia
129052629,LCO,Lague,-2.45,14.533333,,Congo-Brazzaville
129057000,LCP,Loncopue,-38.083333,-70.666667,,Argentina
128667792,LCR,La Chorrera,-1.457778,-72.80222,,Colombia
129054392,LCS,Las Canas,10.418889,-85.104167,,Costa Rica
129055144,LCV,Lucca,43.833333,10.583333,,Italy
128668781,LCX,Longyan,25.675556,116.745556,,China
95565047,LCY,London City,51.503753,0.048512,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}",United Kingdom
129053607,LDA,Malda,25.033333,88.15,,India
95673761,LDB,Londrina,-23.331944,-51.131944,,Brazil
129056241,LDC,Lindeman Island,-21.0,149.0,,Australia
95673315,LDE,Lourdes,43.181944,-0.003611,,France
128667571,LDG,Leshukonskoye,64.9,45.75,,Russia
128667892,LDH,Lord Howe Island,-31.5375,159.079722,,Australia
129055704,LDI,Lindi,-9.845833,39.759444,,Tanzania
129054943,LDJ,Linden,40.616667,-74.25,,United States
129057729,LDK,Lidkoping Hovby,58.5,13.166667,,Sweden
129054391,LDM,Ludington,43.96251,-86.40786,,United States
129055143,LDN,Lamidanda,27.25,86.716667,,Nepal
129053606,LDO,Ladouanie,4.216667,-55.233333,,Suriname
129056240,LDR,Lodar,13.9,45.866667,,Yemen
128667115,LDS,Yichun Lindu,47.751827,129.01799,,China
95673814,LDU,Lahad Datu,5.035278,118.326111,,Malaysia
129052203,LDV,Landivisiau,48.53,-4.151389,,France
129055703,LDW,Lansdowne,-17.883333,126.65,,Australia
129052204,LDX,St Laurent du Maroni,5.483333,-54.05,,France
128667235,LDY,Derry,55.043333,-7.153333,,United Kingdom
129054942,LDZ,Londolozi,-24.8,31.5,,South Africa
128668784,LEA,Learmonth,-22.235,114.081667,,Australia
128668785,LEB,Lebanon,43.628056,-72.305833,,United States
128668773,LEC,Lencois Chapada Diamantina,-12.48,-41.281111,,Brazil
114061072,LED,St Petersburg Pulkovo,59.8,30.3,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",Russia
129057998,LEE,Leesburg,28.833333,-81.816667,,United States
129054033,LEF,Lebakeng,-29.783333,28.583333,,Lesotho
129057094,LEG,Aleg,17.166667,-13.95,,Mauritania
129055572,LEH,Le Havre Octeville,49.538889,0.088611,,France
95673304,LEI,Almeria,36.844444,-2.372222,,Spain
95673741,LEJ,Leipzig,51.416667,12.233333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}",Germany
129052151,LEK,Labe,11.333333,-12.297222,,Guinea
129054155,LEL,Lake Evella,-12.508333,135.8,,Australia
129052627,LEM,Lemmon,45.9339,-102.150601,,United States
95565106,LEN,Leon,42.584444,-5.650833,,Spain
129056998,LEO,Leconi,-1.566667,14.216667,,Gabon
129054390,LEP,Leopoldina,-21.466667,-42.666667,,Brazil
128668783,LEQ,Lands End,50.102778,-5.670556,,United Kingdom
129055142,LER,Leinster,-27.833333,120.616667,,Australia
129053605,LES,Lesobeng,-29.666667,27.666667,,Lesotho
128667791,LET,Leticia,-4.196389,-69.939444,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""1""}",Colombia
129054034,LEU,Andorra-La Seu d’Urgell,42.416667,1.466667,,Spain
129056239,LEV,Bureta,-17.683333,178.833333,,Fiji
129052202,LEW,Auburn-Lewiston Municipal,44.04823,-70.28763,,United States
95673991,LEX,Lexington Blue Grass,38.039722,-84.602222,,United States
129055702,LEY,Lelystad,52.466667,5.533333,,Netherlands
129054941,LEZ,La Esperanza,14.25,-88.166667,,Honduras
129057095,LFB,Lumbo,-15.033333,40.666667,,Mozambique
129052628,LFI,Newport News Langley AFB,37.08288,-76.36055,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",United States
129056999,LFK,Nacogdoches Lufkin Angelina County,31.234167,-94.750278,,United States
128668786,LFM,Lamerd,27.3675,53.203056,,Iran
129057997,LFN,Louisburg,36.02333,-78.33028,,United States
129054032,LFO,Kelafo / Callaf,5.666667,44.333333,,Ethiopia
129057093,LFP,Lakefield,-15.05,144.005556,,Australia
